Label (Grouping),"Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error"
Total:,"538,444","±4,588","1,202,182","±5,766","841,392","±5,312","1,086,587","±5,471","220,242","±2,422"
    No vehicle available,"257,378","±5,912","575,935","±7,032","608,758","±8,008","322,370","±5,951","19,019","±1,370"
    1 vehicle available,"184,957","±4,805","463,002","±7,149","200,667","±6,018","422,760","±6,431","63,808","±2,322"
    2 vehicles available,"71,276","±3,277","124,480","±4,107","25,675","±2,348","231,089","±5,575","89,207","±2,786"
    3 or more vehicles available,"24,833","±2,436","38,765","±2,935","6,292","±1,408","110,368","±3,626","48,208","±1,999"
"    Car, truck, or van - drove alone:","127,876","±3,278","211,989","±3,860","47,563","±2,267","341,837","±4,875","113,992","±2,552"
        No vehicle available,"12,994","±1,368","24,616","±1,555","12,389","±1,259","18,791","±1,266","3,795",±551
        1 vehicle available,"65,844","±2,344","119,619","±3,245","28,852","±1,658","145,834","±3,374","28,374","±1,629"
        2 vehicles available,"35,358","±2,151","51,064","±2,300","5,456",±818,"116,989","±3,552","53,055","±2,273"
        3 or more vehicles available,"13,680","±1,697","16,690","±1,703",866,±398,"60,223","±2,480","28,768","±1,658"
"    Car, truck, or van - carpooled:","23,664","±1,497","46,705","±2,083","10,959","±1,395","64,814","±2,463","22,078","±1,626"
        No vehicle available,"4,483",±586,"10,741","±1,121","5,062","±1,082","10,902","±1,433","1,562",±409
        1 vehicle available,"11,888","±1,202","23,490","±1,579","4,830",±794,"25,986","±1,410","5,790",±688
        2 vehicles available,"5,033",±767,"9,565",±962,802,±245,"17,872","±1,318","8,773",±981
        3 or more vehicles available,"2,260",±519,"2,909",±481,265,±223,"10,054",±926,"5,953",±789
    Public transportation:,"281,539","±5,025","558,771","±5,349","371,486","±5,851","449,837","±6,002","51,433","±1,934"
        No vehicle available,"184,571","±4,326","336,828","±5,118","291,316","±5,811","207,681","±4,414","10,334","±1,057"
        1 vehicle available,"72,228","±3,084","175,036","±3,696","69,558","±3,156","160,037","±4,121","19,317","±1,338"
        2 vehicles available,"19,469","±1,564","36,530","±2,212","8,171","±1,249","57,867","±2,398","14,896","±1,165"
        3 or more vehicles available,"5,271",±772,"10,377","±1,084","2,441",±873,"24,252","±1,545","6,886",±708
    Walked:,"39,013","±2,201","101,967","±3,265","143,015","±4,572","58,487","±2,747","6,007",±901
        No vehicle available,"23,638","±1,824","53,841","±2,903","108,816","±3,972","25,613","±1,872","1,376",±523
        1 vehicle available,"11,119","±1,065","38,304","±1,877","29,547","±2,565","22,063","±1,771","1,840",±384
        2 vehicles available,"2,985",±529,"7,305",±725,"3,629",±703,"7,568",±843,"1,855",±531
        3 or more vehicles available,"1,271",±476,"2,517",±453,"1,023",±393,"3,243",±548,936,±280
"    Taxi or ride-hailing services, motorcycle, bicycle, or other means:","18,523","±1,574","52,478","±2,196","50,818","±2,491","31,620","±1,575","3,400",±534
        No vehicle available,"10,947","±1,198","29,608","±1,715","36,331","±2,264","14,339","±1,204",721,±281
        1 vehicle available,"5,234",±847,"18,543","±1,292","12,524","±1,475","11,380","±1,066","1,174",±329
        2 vehicles available,"1,948",±425,"3,217",±508,"1,582",±432,"4,249",±496,"1,035",±272
        3 or more vehicles available,394,±173,"1,110",±356,381,±261,"1,652",±287,470,±154
    Worked from home:,"47,829","±2,279","230,272","±4,686","217,551","±5,060","139,992","±3,440","23,332","±1,391"
        No vehicle available,"20,745","±1,545","120,301","±3,281","154,844","±4,307","45,044","±2,157","1,231",±351
        1 vehicle available,"18,644","±1,497","88,010","±2,809","55,356","±3,628","57,460","±2,380","7,313",±686
        2 vehicles available,"6,483",±737,"16,799","±1,124","6,035","±1,086","26,544","±1,539","9,593",±968
        3 or more vehicles available,"1,957",±652,"5,162",±659,"1,316",±375,"10,944","±1,204","5,195",±792
