GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US36005000100,Census Tract 1; Bronx County; New York,2950,1354
1400000US36005000200,Census Tract 2; Bronx County; New York,5061,683
1400000US36005000400,Census Tract 4; Bronx County; New York,6649,974
1400000US36005001600,Census Tract 16; Bronx County; New York,5611,602
1400000US36005001901,Census Tract 19.01; Bronx County; New York,2260,308
1400000US36005001902,Census Tract 19.02; Bronx County; New York,2079,359
1400000US36005001903,Census Tract 19.03; Bronx County; New York,0,14
1400000US36005001904,Census Tract 19.04; Bronx County; New York,0,14
1400000US36005002001,Census Tract 20.01; Bronx County; New York,4199,805
1400000US36005002002,Census Tract 20.02; Bronx County; New York,3609,807
1400000US36005002300,Census Tract 23; Bronx County; New York,4567,632
1400000US36005002400,Census Tract 24; Bronx County; New York,105,9
1400000US36005002500,Census Tract 25; Bronx County; New York,5117,609
1400000US36005002701,Census Tract 27.01; Bronx County; New York,3111,536
1400000US36005002702,Census Tract 27.02; Bronx County; New York,4798,604
1400000US36005002800,Census Tract 28; Bronx County; New York,5462,809
1400000US36005003100,Census Tract 31; Bronx County; New York,2788,466
1400000US36005003300,Census Tract 33; Bronx County; New York,3577,759
1400000US36005003500,Census Tract 35; Bronx County; New York,3481,794
1400000US36005003700,Census Tract 37; Bronx County; New York,418,222
1400000US36005003800,Census Tract 38; Bronx County; New York,1250,322
1400000US36005003900,Census Tract 39; Bronx County; New York,5581,930
1400000US36005004001,Census Tract 40.01; Bronx County; New York,1294,243
1400000US36005004100,Census Tract 41; Bronx County; New York,6162,1109
1400000US36005004200,Census Tract 42; Bronx County; New York,7755,881
1400000US36005004300,Census Tract 43; Bronx County; New York,5400,659
1400000US36005004400,Census Tract 44; Bronx County; New York,4303,572
1400000US36005004600,Census Tract 46; Bronx County; New York,1478,314
1400000US36005004800,Census Tract 48; Bronx County; New York,4204,644
1400000US36005005001,Census Tract 50.01; Bronx County; New York,4878,681
1400000US36005005002,Census Tract 50.02; Bronx County; New York,6275,1225
1400000US36005005100,Census Tract 51; Bronx County; New York,7261,953
1400000US36005005200,Census Tract 52; Bronx County; New York,1837,289
1400000US36005005300,Census Tract 53; Bronx County; New York,4065,858
1400000US36005005400,Census Tract 54; Bronx County; New York,5482,911
1400000US36005005600,Census Tract 56; Bronx County; New York,2501,490
1400000US36005005902,Census Tract 59.02; Bronx County; New York,3019,478
1400000US36005006000,Census Tract 60; Bronx County; New York,1280,344
1400000US36005006100,Census Tract 61; Bronx County; New York,3369,677
1400000US36005006200,Census Tract 62; Bronx County; New York,6363,1077
1400000US36005006301,Census Tract 63.01; Bronx County; New York,7053,1061
1400000US36005006302,Census Tract 63.02; Bronx County; New York,0,14
1400000US36005006400,Census Tract 64; Bronx County; New York,4194,609
1400000US36005006500,Census Tract 65; Bronx County; New York,5024,1013
1400000US36005006700,Census Tract 67; Bronx County; New York,7664,2163
1400000US36005006800,Census Tract 68; Bronx County; New York,2542,572
1400000US36005006900,Census Tract 69; Bronx County; New York,6077,958
1400000US36005007000,Census Tract 70; Bronx County; New York,4408,599
1400000US36005007100,Census Tract 71; Bronx County; New York,2805,430
1400000US36005007200,Census Tract 72; Bronx County; New York,4845,740
1400000US36005007300,Census Tract 73; Bronx County; New York,4325,703
1400000US36005007400,Census Tract 74; Bronx County; New York,3280,500
1400000US36005007500,Census Tract 75; Bronx County; New York,6353,1041
1400000US36005007600,Census Tract 76; Bronx County; New York,5252,908
1400000US36005007700,Census Tract 77; Bronx County; New York,1966,478
1400000US36005007800,Census Tract 78; Bronx County; New York,5633,749
1400000US36005007900,Census Tract 79; Bronx County; New York,6829,1128
1400000US36005008300,Census Tract 83; Bronx County; New York,6287,1112
1400000US36005008400,Census Tract 84; Bronx County; New York,3108,714
1400000US36005008500,Census Tract 85; Bronx County; New York,5866,643
1400000US36005008600,Census Tract 86; Bronx County; New York,3849,929
1400000US36005008700,Census Tract 87; Bronx County; New York,5914,849
1400000US36005008900,Census Tract 89; Bronx County; New York,2949,501
1400000US36005009000,Census Tract 90; Bronx County; New York,3861,608
1400000US36005009200,Census Tract 92; Bronx County; New York,5888,776
1400000US36005009301,Census Tract 93.01; Bronx County; New York,5754,1102
1400000US36005009302,Census Tract 93.02; Bronx County; New York,319,306
1400000US36005009600,Census Tract 96; Bronx County; New York,1978,353
1400000US36005009800,Census Tract 98; Bronx County; New York,4080,782
1400000US36005011000,Census Tract 110; Bronx County; New York,0,14
1400000US36005011502,Census Tract 115.02; Bronx County; New York,3935,838
1400000US36005011701,Census Tract 117.01; Bronx County; New York,1262,286
1400000US36005011702,Census Tract 117.02; Bronx County; New York,0,14
1400000US36005011800,Census Tract 118; Bronx County; New York,5057,645
1400000US36005011900,Census Tract 119; Bronx County; New York,5879,1062
1400000US36005012101,Census Tract 121.01; Bronx County; New York,3293,527
1400000US36005012102,Census Tract 121.02; Bronx County; New York,1429,258
1400000US36005012300,Census Tract 123; Bronx County; New York,4712,913
1400000US36005012500,Census Tract 125; Bronx County; New York,4001,604
1400000US36005012701,Census Tract 127.01; Bronx County; New York,2129,578
1400000US36005012901,Census Tract 129.01; Bronx County; New York,4944,1045
1400000US36005013000,Census Tract 130; Bronx County; New York,1388,429
1400000US36005013100,Census Tract 131; Bronx County; New York,5288,703
1400000US36005013200,Census Tract 132; Bronx County; New York,7083,1032
1400000US36005013300,Census Tract 133; Bronx County; New York,6087,958
1400000US36005013500,Census Tract 135; Bronx County; New York,4075,1056
1400000US36005013800,Census Tract 138; Bronx County; New York,3062,475
1400000US36005014100,Census Tract 141; Bronx County; New York,7856,860
1400000US36005014300,Census Tract 143; Bronx County; New York,1647,238
1400000US36005014400,Census Tract 144; Bronx County; New York,6128,937
1400000US36005014500,Census Tract 145; Bronx County; New York,6899,1481
1400000US36005014701,Census Tract 147.01; Bronx County; New York,6094,1538
1400000US36005014702,Census Tract 147.02; Bronx County; New York,4950,958
1400000US36005014900,Census Tract 149; Bronx County; New York,4714,1212
1400000US36005015100,Census Tract 151; Bronx County; New York,5216,1010
1400000US36005015200,Census Tract 152; Bronx County; New York,2562,467
1400000US36005015300,Census Tract 153; Bronx County; New York,3603,710
1400000US36005015500,Census Tract 155; Bronx County; New York,3016,639
1400000US36005015700,Census Tract 157; Bronx County; New York,6152,968
1400000US36005015800,Census Tract 158; Bronx County; New York,1490,289
1400000US36005015900,Census Tract 159; Bronx County; New York,2407,489
1400000US36005016000,Census Tract 160; Bronx County; New York,3848,562
1400000US36005016100,Census Tract 161; Bronx County; New York,4703,695
1400000US36005016200,Census Tract 162; Bronx County; New York,1885,403
1400000US36005016300,Census Tract 163; Bronx County; New York,0,14
1400000US36005016400,Census Tract 164; Bronx County; New York,1132,310
1400000US36005016500,Census Tract 165; Bronx County; New York,1311,285
1400000US36005016600,Census Tract 166; Bronx County; New York,2395,399
1400000US36005016700,Census Tract 167; Bronx County; New York,3015,400
1400000US36005016900,Census Tract 169; Bronx County; New York,1944,312
1400000US36005017100,Census Tract 171; Bronx County; New York,0,14
1400000US36005017300,Census Tract 173; Bronx County; New York,5266,984
1400000US36005017500,Census Tract 175; Bronx County; New York,6264,976
1400000US36005017701,Census Tract 177.01; Bronx County; New York,5395,828
1400000US36005017702,Census Tract 177.02; Bronx County; New York,5232,1071
1400000US36005017901,Census Tract 179.01; Bronx County; New York,4968,876
1400000US36005017902,Census Tract 179.02; Bronx County; New York,3030,729
1400000US36005018101,Census Tract 181.01; Bronx County; New York,2881,709
1400000US36005018102,Census Tract 181.02; Bronx County; New York,5324,919
1400000US36005018301,Census Tract 183.01; Bronx County; New York,3933,561
1400000US36005018302,Census Tract 183.02; Bronx County; New York,3295,589
1400000US36005018400,Census Tract 184; Bronx County; New York,3886,669
1400000US36005018501,Census Tract 185.01; Bronx County; New York,3775,706
1400000US36005018502,Census Tract 185.02; Bronx County; New York,5525,1011
1400000US36005018900,Census Tract 189; Bronx County; New York,8244,1042
1400000US36005019300,Census Tract 193; Bronx County; New York,5949,987
1400000US36005019400,Census Tract 194; Bronx County; New York,2117,350
