GEOID,total_households,zero_vehicle_households,car_ownership_rate
1400000US36005000200,2431,616,0.25339366515837103
1400000US36005000400,3043,251,0.08248439040420638
1400000US36005001600,2465,620,0.2515212981744422
1400000US36005001901,1232,866,0.702922077922078
1400000US36005001902,825,249,0.3018181818181818
1400000US36005002001,1041,801,0.7694524495677233
1400000US36005002002,1241,372,0.2997582594681708
1400000US36005002300,978,685,0.7004089979550102
1400000US36005002500,1780,1314,0.7382022471910112
1400000US36005002701,731,563,0.7701778385772914
1400000US36005002702,1314,791,0.601978691019787
1400000US36005002800,2630,782,0.2973384030418251
1400000US36005003100,1252,944,0.7539936102236422
1400000US36005003300,1069,481,0.4499532273152479
1400000US36005003500,992,620,0.625
1400000US36005003700,119,69,0.5798319327731093
1400000US36005003800,391,135,0.3452685421994885
1400000US36005003900,1897,911,0.4802319451765946
1400000US36005004001,495,104,0.2101010101010101
1400000US36005004100,1413,663,0.4692144373673036
1400000US36005004200,2827,1135,0.40148567385921474
1400000US36005004300,1486,1092,0.7348586810228802
1400000US36005004400,1146,535,0.4668411867364747
1400000US36005004600,452,142,0.3141592920353982
1400000US36005004800,1613,1036,0.6422814631122132
1400000US36005005001,1438,771,0.5361613351877608
1400000US36005005002,2003,1274,0.636045931103345
1400000US36005005100,1821,1484,0.814936847885777
1400000US36005005200,586,295,0.5034129692832765
1400000US36005005300,1212,956,0.7887788778877888
1400000US36005005400,2208,1550,0.7019927536231884
1400000US36005005600,1013,343,0.33859822309970383
1400000US36005005902,1329,904,0.6802106847253574
1400000US36005006000,406,173,0.42610837438423643
1400000US36005006100,1405,568,0.40427046263345195
1400000US36005006200,2005,911,0.4543640897755611
1400000US36005006301,3341,1993,0.596527985633044
1400000US36005006400,1470,787,0.535374149659864
1400000US36005006500,1446,1077,0.7448132780082988
1400000US36005006700,2350,1599,0.6804255319148936
1400000US36005006800,718,601,0.8370473537604457
1400000US36005006900,2011,1393,0.6926902038786673
1400000US36005007000,1420,581,0.4091549295774648
1400000US36005007100,1053,565,0.5365622032288699
1400000US36005007200,2096,1009,0.48139312977099236
1400000US36005007300,1462,836,0.5718194254445964
1400000US36005007400,1507,336,0.22295952222959523
1400000US36005007500,2023,983,0.48591201186356897
1400000US36005007600,2097,1363,0.6499761564139247
1400000US36005007700,817,340,0.41615667074663404
1400000US36005007800,2072,787,0.3798262548262548
1400000US36005007900,2348,1498,0.6379897785349233
1400000US36005008300,2332,1457,0.6247855917667239
1400000US36005008400,1294,384,0.29675425038639874
1400000US36005008500,1900,1009,0.5310526315789473
1400000US36005008600,915,558,0.6098360655737705
1400000US36005008700,2173,1333,0.6134376438104003
1400000US36005008900,876,740,0.8447488584474886
1400000US36005009000,1255,433,0.3450199203187251
1400000US36005009200,2391,1187,0.49644500209117526
1400000US36005009301,2308,1417,0.6139514731369151
1400000US36005009600,728,201,0.2760989010989011
1400000US36005009800,1659,221,0.13321277878239904
1400000US36005011502,1370,775,0.5656934306569343
1400000US36005011701,419,299,0.7136038186157518
1400000US36005011800,1483,39,0.026298044504383007
1400000US36005011900,2142,1245,0.5812324929971989
1400000US36005012101,1019,615,0.6035328753680078
1400000US36005012102,393,158,0.4020356234096692
1400000US36005012300,1785,1201,0.6728291316526611
1400000US36005012500,1781,671,0.3767546322290848
1400000US36005012701,709,374,0.5275035260930888
1400000US36005012901,1130,681,0.6026548672566372
1400000US36005013000,666,165,0.24774774774774774
1400000US36005013100,1463,688,0.47026657552973344
1400000US36005013200,3393,206,0.06071323312702623
1400000US36005013300,1765,1241,0.7031161473087819
1400000US36005013500,1306,203,0.1554364471669219
1400000US36005013800,1326,118,0.0889894419306184
1400000US36005014100,3017,1901,0.6300961219754724
1400000US36005014300,441,273,0.6190476190476191
1400000US36005014400,1843,530,0.2875746066196419
1400000US36005014500,1608,937,0.5827114427860697
1400000US36005014701,1694,1426,0.8417945690672963
1400000US36005014702,1509,812,0.538104705102717
1400000US36005014900,1779,696,0.3912310286677909
1400000US36005015100,1651,887,0.5372501514233797
1400000US36005015200,1107,25,0.022583559168925023
1400000US36005015300,1022,543,0.5313111545988258
1400000US36005015500,1025,601,0.5863414634146341
1400000US36005015700,2717,1774,0.652926021347074
1400000US36005015800,636,100,0.15723270440251572
1400000US36005015900,1067,290,0.2717900656044986
1400000US36005016000,1701,164,0.09641387419165197
1400000US36005016100,1409,1172,0.8317955997161107
1400000US36005016200,795,68,0.08553459119496855
1400000US36005016400,459,37,0.08061002178649238
1400000US36005016500,595,150,0.25210084033613445
1400000US36005016600,997,31,0.031093279839518557
1400000US36005016700,912,340,0.37280701754385964
1400000US36005016900,667,359,0.5382308845577212
1400000US36005017300,1793,1069,0.596207473508087
1400000US36005017500,1817,903,0.49697303247110625
1400000US36005017701,2384,1439,0.6036073825503355
1400000US36005017702,1730,902,0.5213872832369942
1400000US36005017901,1998,1427,0.7142142142142142
1400000US36005017902,1187,1109,0.9342881213142376
1400000US36005018101,1289,737,0.5717610550814585
1400000US36005018102,2234,1672,0.7484333034914951
1400000US36005018301,1642,1061,0.646163215590743
1400000US36005018302,1572,1185,0.7538167938931297
1400000US36005018400,1844,361,0.1957700650759219
1400000US36005018501,1440,764,0.5305555555555556
1400000US36005018502,1487,664,0.4465366509751177
1400000US36005018900,3634,2382,0.6554760594386351
1400000US36005019300,2618,1824,0.6967150496562261
1400000US36005019400,1054,296,0.2808349146110057
1400000US36005019500,2440,1663,0.6815573770491803
1400000US36005019700,2631,1961,0.7453439756746484
1400000US36005019900,3114,1849,0.5937700706486834
1400000US36005020000,1657,543,0.3277006638503319
1400000US36005020100,896,615,0.6863839285714286
1400000US36005020200,1137,564,0.49604221635883905
1400000US36005020400,1071,543,0.5070028011204482
1400000US36005020501,2319,1397,0.6024148339801638
1400000US36005020502,882,578,0.655328798185941
1400000US36005020601,1317,375,0.2847380410022779
1400000US36005020900,1863,1345,0.7219538378958669
1400000US36005021001,2816,1991,0.70703125
1400000US36005021002,3297,1800,0.545950864422202
1400000US36005021100,2087,1072,0.5136559655007187
1400000US36005021200,2152,1339,0.6222118959107806
1400000US36005021301,365,178,0.4876712328767123
1400000US36005021302,2178,1053,0.4834710743801653
1400000US36005021501,1863,982,0.5271068169618894
1400000US36005021502,1547,1202,0.7769877181641888
1400000US36005021601,1838,1107,0.6022850924918389
1400000US36005021602,2539,1807,0.7116975187081528
1400000US36005021700,1939,1560,0.8045384218669417
1400000US36005021800,2803,1719,0.6132714948269711
1400000US36005021900,657,560,0.852359208523592
1400000US36005022000,400,193,0.4825
1400000US36005022101,1291,866,0.6707978311386522
1400000US36005022102,1841,1328,0.7213470939706681
1400000US36005022200,1354,687,0.5073855243722304
1400000US36005022300,2272,1837,0.8085387323943662
1400000US36005022401,888,496,0.5585585585585585
1400000US36005022403,1375,645,0.4690909090909091
1400000US36005022404,2049,1051,0.5129331381161543
1400000US36005022500,2583,1779,0.6887340301974448
1400000US36005022701,2076,1494,0.7196531791907514
1400000US36005022702,462,297,0.6428571428571429
1400000US36005022703,635,516,0.8125984251968504
1400000US36005022800,3060,1319,0.43104575163398695
1400000US36005022901,2252,1661,0.7375666074600356
1400000US36005022902,1812,1122,0.6192052980132451
1400000US36005023000,1157,435,0.3759723422644771
1400000US36005023100,504,312,0.6190476190476191
1400000US36005023200,1005,356,0.354228855721393
1400000US36005023301,1316,976,0.7416413373860182
1400000US36005023302,1524,992,0.6509186351706037
1400000US36005023501,1356,817,0.6025073746312685
1400000US36005023502,1851,1327,0.7169097784981091
1400000US36005023600,799,420,0.5256570713391739
1400000US36005023702,362,179,0.494475138121547
1400000US36005023703,1188,853,0.718013468013468
1400000US36005023704,1232,829,0.6728896103896104
1400000US36005023800,1075,378,0.3516279069767442
1400000US36005023900,3415,2129,0.6234260614934114
1400000US36005024000,1868,578,0.3094218415417559
1400000US36005024100,1864,1493,0.8009656652360515
1400000US36005024300,1485,925,0.622895622895623
1400000US36005024400,1057,241,0.228003784295175
1400000US36005024501,2147,980,0.4564508616674429
1400000US36005024502,1936,738,0.381198347107438
1400000US36005024600,910,162,0.17802197802197803
