tract_geoid,ALAND,AWATER,acs_geographic_name,state_fips,county_fips,tract_code,borough,total_households_estimate,total_households_moe,zero_vehicle_households_estimate,zero_vehicle_households_moe,total_households_lower,total_households_upper,zero_vehicle_households_lower,zero_vehicle_households_upper,zero_vehicle_household_rate,zero_vehicle_rate_se,zero_vehicle_rate_moe,zero_vehicle_rate_ci_lower,zero_vehicle_rate_ci_upper,zero_vehicle_rate_ci_width,zero_vehicle_rate_cv,zero_vehicle_rate_moe_method,rate_cv_reference_group
36081003400,213987,0,Census Tract 34; Queens County; New York,36,081,003400,Queens,728,104,304,116,624,832,188,420,0.4175824175824176,0.08981908609630626,0.1477523966284238,0.2698300209539938,0.5653348142108414,0.29550479325684764,0.2150930745990492,proportion approximation,CV <= 30% diagnostic reference
36081003900,146970,0,Census Tract 39; Queens County; New York,36,081,003900,Queens,519,192,170,58,327,711,112,228,0.32755298651252407,0.10020693372294864,0.1648404059742505,0.16271258053827356,0.4923933924867746,0.3296808119485011,0.3059258741306491,alternative ratio approximation,CV > 30% diagnostic reference
36081003600,180006,0,Census Tract 36; Queens County; New York,36,081,003600,Queens,1070,237,369,195,833,1307,174,564,0.3448598130841122,0.10058515303672869,0.1654625767454187,0.17939723633869348,0.5103223898295308,0.33092515349083734,0.2916696849574517,proportion approximation,CV <= 30% diagnostic reference
36081003700,386629,14591,Census Tract 37; Queens County; New York,36,081,003700,Queens,0,14,0,14,0,14,0,14,,,,,,,,not calculated,CV unavailable
36081003800,176214,0,Census Tract 38; Queens County; New York,36,081,003800,Queens,702,90,246,90,612,792,156,336,0.3504273504273504,0.07299430416214323,0.12007563034672561,0.2303517200806248,0.47050298077407604,0.24015126069345125,0.20830081919440874,proportion approximation,CV <= 30% diagnostic reference
36081004001,174292,0,Census Tract 40.01; Queens County; New York,36,081,004001,Queens,670,98,151,67,572,768,84,218,0.2253731343283582,0.05739228716851093,0.09441031239220048,0.13096282193615771,0.3197834467205587,0.18882062478440098,0.2546545192245187,proportion approximation,CV <= 30% diagnostic reference
36081004200,200287,0,Census Tract 42; Queens County; New York,36,081,004200,Queens,1155,138,286,128,1017,1293,158,414,0.24761904761904763,0.06492423435676732,0.10680036551688224,0.1408186821021654,0.35441941313592984,0.21360073103376445,0.26219402336386805,proportion approximation,CV <= 30% diagnostic reference
36081004300,170813,0,Census Tract 43; Queens County; New York,36,081,004300,Queens,1008,151,677,177,857,1159,500,854,0.6716269841269841,0.08748554009340537,0.14391371345365184,0.5277132706733323,0.8155406975806359,0.28782742690730356,0.13025912025724168,proportion approximation,CV <= 30% diagnostic reference
36081077907,216834,0,Census Tract 779.07; Queens County; New York,36,081,077907,Queens,1100,207,417,205,893,1307,212,622,0.3790909090909091,0.1046622316919058,0.17216937113318506,0.20692153795772403,0.5512602802240941,0.34433874226637007,0.27608742172924794,proportion approximation,CV <= 30% diagnostic reference
36081024000,269563,0,Census Tract 240; Queens County; New York,36,081,024000,Queens,2215,343,1398,266,1872,2558,1132,1664,0.6311512415349887,0.04242004798875017,0.06978097894149403,0.5613702625934947,0.7009322204764827,0.13956195788298809,0.06721059105513708,proportion approximation,CV <= 30% diagnostic reference
36081024300,540128,0,Census Tract 243; Queens County; New York,36,081,024300,Queens,2344,421,614,185,1923,2765,429,799,0.2619453924914676,0.0385224665367416,0.06336945745293994,0.19857593503852766,0.3253148499444075,0.12673891490587985,0.14706296671355426,proportion approximation,CV <= 30% diagnostic reference
