LocationID,borough,zone,nearest_station_id,nearest_station_name,station_borough,nearest_station_division,nearest_station_latitude,nearest_station_longitude,subway_proximity_km
2,Queens,Jamaica Bay,199,Broad Channel,Q,IND,40.608382,-73.815925,1.5986215033248616
3,Bronx,Allerton/Pelham Gardens,444,Gun Hill Rd,Bx,IRT,40.869526,-73.846384,0.5678389783446932
4,Manhattan,Alphabet City,119,1 Av,M,BMT,40.730953,-73.981628,0.8912941420343661
5,Staten Island,Arden Heights,515,Annadale,SI,SIR,40.54046,-74.178217,1.6098168329800355
6,Staten Island,Arrochar/Fort Wadsworth,505,Grasmere,SI,SIR,40.603117,-74.084087,1.087635557980975
7,Queens,Astoria,4,Broadway,Q,BMT,40.76182,-73.925508,0.49223396309677364
8,Queens,Astoria Park,1,Astoria-Ditmars Blvd,Q,BMT,40.775036,-73.912034,1.0116981047638378
9,Queens,Auburndale,447,Flushing-Main St,Q,IRT,40.7596,-73.83003,3.678665981318962
10,Queens,Baisley Park,278,Jamaica Center-Parsons/Archer,Q,IND,40.702147,-73.801109,2.714027936828178
11,Brooklyn,Bath Beach,66,18 Av,Bk,BMT,40.607954,-74.001736,0.6356839105359463
12,Manhattan,Battery Park,330,South Ferry,M,IRT,40.702068,-74.013664,0.1878099382195845
13,Manhattan,Battery Park City,328,WTC Cortlandt,M,IRT,40.711835,-74.012188,0.32958471566400155
14,Brooklyn,Bay Ridge,38,86 St,Bk,BMT,40.622687,-74.028398,0.2698447174640813
15,Queens,Bay Terrace/Fort Totten,447,Flushing-Main St,Q,IRT,40.7596,-73.83003,4.558594771306954
16,Queens,Bayside,447,Flushing-Main St,Q,IRT,40.7596,-73.83003,4.7926112876397795
17,Brooklyn,Bedford,288,Myrtle-Willoughby Avs,Bk,IND,40.694568,-73.949046,0.3475794596493198
18,Bronx,Bedford Park,212,Kingsbridge Rd,Bx,IND,40.866978,-73.893509,0.29102845106699454
19,Queens,Bellerose,254,Jamaica-179 St,Q,IND,40.712646,-73.783817,5.454847093524947
20,Bronx,Belmont,213,Fordham Rd,Bx,IND,40.861296,-73.897749,1.0751963209747126
21,Brooklyn,Bensonhurst East,77,Kings Hwy,Bk,BMT,40.603923,-73.980353,0.386471104871265
22,Brooklyn,Bensonhurst West,65,79 St,Bk,BMT,40.613501,-74.00061,0.474756508727547
23,Staten Island,Bloomfield/Emerson Hill,510,New Dorp,SI,SIR,40.57348,-74.11721,5.835205975369075
24,Manhattan,Bloomingdale,308,Cathedral Pkwy (110 St),M,IRT,40.803967,-73.966847,0.24994769682648474
25,Brooklyn,Boerum Hill,175,Hoyt-Schermerhorn Sts,Bk,IND,40.688484,-73.985001,0.33020021276097183
26,Brooklyn,Borough Park,62,55 St,Bk,BMT,40.631435,-73.995476,0.579120477263608
27,Queens,Breezy Point/Fort Tilden/Riis Beach,55,Brighton Beach,Bk,BMT,40.577621,-73.961376,5.048354338570912
28,Queens,Briarwood/Jamaica Hills,256,Parsons Blvd,Q,IND,40.707564,-73.803326,0.6395307902290647
29,Brooklyn,Brighton Beach,55,Brighton Beach,Bk,BMT,40.577621,-73.961376,0.3667850717291017
30,Queens,Broad Channel,199,Broad Channel,Q,IND,40.608382,-73.815925,0.7279509070730967
31,Bronx,Bronx Park,424,Pelham Pkwy,Bx,IRT,40.857192,-73.867615,0.6656535338298039
32,Bronx,Bronxdale,423,Allerton Av,Bx,IRT,40.865462,-73.867352,0.262654346186888
33,Brooklyn,Brooklyn Heights,334,Clark St,Bk,IRT,40.697466,-73.993086,0.2603104691211889
34,Brooklyn,Brooklyn Navy Yard,235,York St,Bk,IND,40.701397,-73.986751,1.3166119727036751
35,Brooklyn,Brownsville,348,Rockaway Av,Bk,IRT,40.662549,-73.908946,0.19588909663016751
36,Brooklyn,Bushwick North,113,Knickerbocker Av,Bk,BMT,40.698664,-73.919711,0.26680924510336435
37,Brooklyn,Bushwick South,113,Knickerbocker Av,Bk,BMT,40.698664,-73.919711,0.46007692269022715
38,Queens,Cambria Heights,254,Jamaica-179 St,Q,IND,40.712646,-73.783817,4.55719505386647
39,Brooklyn,Canarsie,138,Canarsie-Rockaway Pkwy,Bk,BMT,40.646654,-73.90185,0.9734902639400186
40,Brooklyn,Carroll Gardens,237,Carroll St,Bk,IND,40.680303,-73.995048,0.1446583041706125
41,Manhattan,Central Harlem,440,116 St,M,IRT,40.802098,-73.949625,0.28537214408542677
42,Manhattan,Central Harlem North,438,135 St,M,IRT,40.814229,-73.94077,0.44733644266124195
43,Manhattan,Central Park,158,86 St,M,IND,40.785868,-73.968916,0.4714522752039138
44,Staten Island,Charleston/Tottenville,519,Richmond Valley,SI,SIR,40.519631,-74.229141,0.7497575916313282
45,Manhattan,Chinatown,105,Chambers St,M,BMT,40.713243,-74.003401,0.45203835319693286
46,Bronx,City Island,360,Pelham Bay Park,Bx,IRT,40.852462,-73.828121,3.908187929082263
47,Bronx,Claremont/Bathgate,216,174-175 Sts,Bx,IND,40.8459,-73.910136,0.8989894965507448
48,Manhattan,Clinton East,162,50 St,M,IND,40.762456,-73.985984,0.32678159209235563
49,Brooklyn,Clinton Hill,290,Classon Av,Bk,IND,40.688873,-73.96007,0.2184006363298208
50,Manhattan,Clinton West,162,50 St,M,IND,40.762456,-73.985984,0.8794276837656416
51,Bronx,Co-Op City,443,Baychester Av,Bx,IRT,40.878663,-73.838591,1.014473204446754
52,Brooklyn,Cobble Hill,236,Bergen St,Bk,IND,40.686145,-73.990862,0.49871395818680503
53,Queens,College Point,447,Flushing-Main St,Q,IRT,40.7596,-73.83003,2.6010946327935867
54,Brooklyn,Columbia Street,237,Carroll St,Bk,IND,40.680303,-73.995048,1.0141871190655705
55,Brooklyn,Coney Island,58,Coney Island-Stillwell Av,Bk,BMT,40.577422,-73.981233,0.5704925022264232
56,Queens,Corona,450,103 St-Corona Plaza,Q,IRT,40.749865,-73.8627,0.9941011459085148
57,Queens,Corona,449,111 St,Q,IRT,40.75173,-73.855334,0.1483262455527706
58,Bronx,Country Club,361,Buhre Av,Bx,IRT,40.84681,-73.832569,1.1867525203908955
59,Bronx,Crotona Park,428,174 St,Bx,IRT,40.837288,-73.887734,0.6274888204191349
60,Bronx,Crotona Park East,428,174 St,Bx,IRT,40.837288,-73.887734,0.3975191542850627
61,Brooklyn,Crown Heights North,344,Kingston Av,Bk,IRT,40.669399,-73.942161,0.613287931978027
62,Brooklyn,Crown Heights South,353,President St-Medgar Evers College,Bk,IRT,40.667883,-73.950683,0.21883034742499244
63,Brooklyn,Cypress Hills,88,Norwood Av,Bk,BMT,40.68141,-73.880039,0.3125667332928359
64,Queens,Douglaston,254,Jamaica-179 St,Q,IND,40.712646,-73.783817,6.518573853539419
65,Brooklyn,Downtown Brooklyn/MetroTech,174,Jay St-MetroTech,Bk,IND,40.692338,-73.987342,0.34959565566924955
66,Brooklyn,DUMBO/Vinegar Hill,235,York St,Bk,IND,40.701397,-73.986751,0.13049057749506598
67,Brooklyn,Dyker Heights,64,71 St,Bk,BMT,40.619589,-73.998864,1.264041119081875
68,Manhattan,East Chelsea,165,23 St,M,IND,40.745906,-73.998041,0.3217429250556746
69,Bronx,East Concourse/Concourse Village,218,167 St,Bx,IND,40.833771,-73.91844,0.38872092096246513
70,Queens,East Elmhurst,450,103 St-Corona Plaza,Q,IRT,40.749865,-73.8627,1.5730478691060754
71,Brooklyn,East Flatbush/Farragut,357,Beverly Rd,Bk,IRT,40.645098,-73.948959,0.9341753167611946
72,Brooklyn,East Flatbush/Remsen Village,347,Saratoga Av,Bk,IRT,40.661453,-73.916327,1.1267654207574616
73,Queens,East Flushing,447,Flushing-Main St,Q,IRT,40.7596,-73.83003,2.0144035238141083
74,Manhattan,East Harlem North,392,125 St,M,IRT,40.804138,-73.937594,0.3303572120132491
75,Manhattan,East Harlem South,395,103 St,M,IRT,40.7906,-73.947478,0.15983742591580619
76,Brooklyn,East New York,352,New Lots Av,Bk,IRT,40.666235,-73.884079,0.8504530479100809
77,Brooklyn,East New York/Pennsylvania Avenue,350,Pennsylvania Av,Bk,IRT,40.664635,-73.894895,0.21727232459596307
78,Bronx,East Tremont,427,West Farms Sq-E Tremont Av,Bx,IRT,40.840295,-73.880049,0.6938495463878801
79,Manhattan,East Village,407,Astor Pl,M,IRT,40.730054,-73.99107,0.5109319903320645
80,Brooklyn,East Williamsburg,123,Grand St,Bk,BMT,40.711926,-73.94067,0.5035142145805396
81,Bronx,Eastchester,443,Baychester Av,Bx,IRT,40.878663,-73.838591,0.3009755446029835
82,Queens,Elmhurst,265,Grand Av-Newtown,Q,IND,40.737015,-73.877223,0.2755802750581625
83,Queens,Elmhurst/Maspeth,267,Jackson Hts-Roosevelt Av,Q,IND,40.746644,-73.891338,0.9266222281835896
84,Staten Island,Eltingville/Annadale/Prince's Bay,516,Huguenot,SI,SIR,40.533674,-74.191794,0.6545243861069624
85,Brooklyn,Erasmus,357,Beverly Rd,Bk,IRT,40.645098,-73.948959,0.2521275641066453
86,Queens,Far Rockaway,209,Far Rockaway-Mott Av,Q,IND,40.603995,-73.755405,0.1740309025807664
87,Manhattan,Financial District North,333,Wall St,M,IRT,40.706821,-74.0091,0.13555985471373797
88,Manhattan,Financial District South,23,Whitehall St-South Ferry,M,BMT,40.703087,-74.012994,0.128558556412598
89,Brooklyn,Flatbush/Ditmas Park,47,Newkirk Plaza,Bk,BMT,40.635082,-73.962793,0.34890435655166135
90,Manhattan,Flatiron,321,18 St,M,IRT,40.74104,-73.997871,0.15713176090598005
91,Brooklyn,Flatlands,359,Flatbush Av-Brooklyn College,Bk,IRT,40.632836,-73.947642,1.6536636252355215
92,Queens,Flushing,447,Flushing-Main St,Q,IRT,40.7596,-73.83003,0.1938667788883736
93,Queens,Flushing Meadows-Corona Park,448,Mets-Willets Point,Q,IRT,40.754622,-73.845625,1.6002386782009572
94,Bronx,Fordham South,214,182-183 Sts,Bx,IND,40.856093,-73.900741,0.25053554457357224
95,Queens,Forest Hills,261,Forest Hills-71 Av,Q,IND,40.721691,-73.844521,0.267531362133343
96,Queens,Forest Park/Highland Park,85,75 St-Elderts Ln,Q,BMT,40.691324,-73.867139,0.7329483871452024
97,Brooklyn,Fort Greene,292,Fulton St,Bk,IND,40.687119,-73.975375,0.4094033375158426
98,Queens,Fresh Meadows,254,Jamaica-179 St,Q,IND,40.712646,-73.783817,2.485351858653447
99,Staten Island,Freshkills Park,514,Eltingville,SI,SIR,40.544601,-74.16457,4.023388328708257
100,Manhattan,Garment District,11,Times Sq-42 St,M,BMT,40.754672,-73.986754,0.21455847991887705
101,Queens,Glen Oaks,254,Jamaica-179 St,Q,IND,40.712646,-73.783817,7.178242512525092
102,Queens,Glendale,108,Middle Village-Metropolitan Av,Q,BMT,40.711396,-73.889601,1.4603110263923622
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,330,South Ferry,M,IRT,40.702068,-74.013664,2.9970333696015476
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,330,South Ferry,M,IRT,40.702068,-74.013664,2.320037998687605
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,330,South Ferry,M,IRT,40.702068,-74.013664,1.544352852964676
106,Brooklyn,Gowanus,29,4 Av-9 St,Bk,BMT,40.670847,-73.988302,0.35630886698786235
